           h                   log(h)                     E(h)
1.937984e-004 -8.548692e+000 2.174978e-004
1.941748e-004 -8.546752e+000 2.179202e-004
1.945525e-004 -8.544808e+000 2.183442e-004
1.949318e-004 -8.542861e+000 2.187699e-004
1.953125e-004 -8.540910e+000 2.191972e-004
1.956947e-004 -8.538955e+000 2.196262e-004
1.960784e-004 -8.536996e+000 2.200569e-004
1.964637e-004 -8.535033e+000 2.204892e-004
1.968504e-004 -8.533067e+000 2.209233e-004
1.972387e-004 -8.531096e+000 2.213591e-004
1.976285e-004 -8.529122e+000 2.217966e-004
1.980198e-004 -8.527144e+000 2.222359e-004
1.984127e-004 -8.525161e+000 2.226768e-004
1.988072e-004 -8.523175e+000 2.231196e-004
1.992032e-004 -8.521185e+000 2.235641e-004
1.996008e-004 -8.519191e+000 2.240104e-004
2.000000e-004 -8.517193e+000 2.244584e-004
2.004008e-004 -8.515191e+000 2.249083e-004
2.008032e-004 -8.513185e+000 2.253600e-004
2.012072e-004 -8.511175e+000 2.258134e-004
2.016129e-004 -8.509161e+000 2.262688e-004
2.020202e-004 -8.507143e+000 2.267259e-004
2.024291e-004 -8.505121e+000 2.271849e-004
2.028398e-004 -8.503094e+000 2.276458e-004
2.032520e-004 -8.501064e+000 2.281085e-004
2.036660e-004 -8.499029e+000 2.285731e-004
2.040816e-004 -8.496990e+000 2.290397e-004
2.044990e-004 -8.494948e+000 2.295081e-004
2.049180e-004 -8.492900e+000 2.299785e-004
2.053388e-004 -8.490849e+000 2.304507e-004
2.057613e-004 -8.488794e+000 2.309250e-004
2.061856e-004 -8.486734e+000 2.314011e-004
2.066116e-004 -8.484670e+000 2.318793e-004
2.070393e-004 -8.482602e+000 2.323594e-004
2.074689e-004 -8.480529e+000 2.328415e-004
2.079002e-004 -8.478452e+000 2.333257e-004
2.083333e-004 -8.476371e+000 2.338118e-004
2.087683e-004 -8.474286e+000 2.343000e-004
2.092050e-004 -8.472196e+000 2.347902e-004
2.096436e-004 -8.470102e+000 2.352825e-004
2.100840e-004 -8.468003e+000 2.357768e-004
2.105263e-004 -8.465900e+000 2.362733e-004
2.109705e-004 -8.463792e+000 2.367718e-004
2.114165e-004 -8.461680e+000 2.372724e-004
2.118644e-004 -8.459564e+000 2.377751e-004
2.123142e-004 -8.457443e+000 2.382800e-004
2.127660e-004 -8.455318e+000 2.387871e-004
